relation_id,subject_id,relation,object_id,source_id,evidence_page,evidence_note,confidence
R262,article-2009-prvi-gradjanin-male-varosi,concernsPlace,PL002,article-2009-prvi-gradjanin-male-varosi,PDF 2,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R263,article-2010-industrijalizacija-cacka-1944-1956,concernsPlace,PL002,article-2010-industrijalizacija-cacka-1944-1956,PDF 3,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R264,article-2013-spomen-kosturnica-centralni-trg-cacak-1945-1955,concernsPlace,PL002,article-2013-spomen-kosturnica-centralni-trg-cacak-1945-1955,PDF 3,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R265,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsPlace,PL002,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R266,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,concernsPlace,PL002,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,PDF 19,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R267,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,concernsPlace,PL002,conference-paper-2019-gradski-centar-arhitektonsko-nasledje-socijalizma-cacak,PDF 8,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R268,book-chapter-2007-grad-u-unutrasnjosti,concernsPlace,PL002,book-chapter-2007-grad-u-unutrasnjosti,PDF 10,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R269,article-2009-predsednici-opstine-cacak-1944-2010,concernsPlace,PL002,article-2009-predsednici-opstine-cacak-1944-2010,PDF 1,"Чачак је непосредни простор анализе, потврђен насловом или сажетком публикације.",high
R270,book-2012-balkan-city,concernsPlace,PL027,book-2012-balkan-city,PDF 1,Благоевград је други компаративни град наведен у наслову монографије.,high
R271,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsPlace,PL016,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23; PDF 31,Место је део просторног оквира изградње хидроелектрана.,high
R272,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsPlace,PL028,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23; PDF 31,Место је део просторног оквира изградње хидроелектрана.,high
R273,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsPlace,PL029,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23; PDF 31,Место је део просторног оквира изградње хидроелектрана.,high
R274,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsInstitution,I028,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23; PDF 31,Хидроелектрана је непосредни предмет рада.,high
R275,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,concernsInstitution,I029,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 23; PDF 31,Хидроелектрана је непосредни предмет рада.,high
R276,article-2010-industrijalizacija-cacka-1944-1956,concernsPlace,PL016,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Место је обрађено у делу о хидроенергетској инфраструктури индустријализације.,high
R277,article-2010-industrijalizacija-cacka-1944-1956,concernsPlace,PL028,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Место је обрађено у делу о хидроенергетској инфраструктури индустријализације.,high
R278,article-2010-industrijalizacija-cacka-1944-1956,concernsPlace,PL029,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Место је обрађено у делу о хидроенергетској инфраструктури индустријализације.,high
R279,article-2010-industrijalizacija-cacka-1944-1956,concernsInstitution,I027,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Установа или предузеће обрађено је као носилац индустријализације Чачка.,high
R280,article-2010-industrijalizacija-cacka-1944-1956,concernsInstitution,I028,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Установа или предузеће обрађено је као носилац индустријализације Чачка.,high
R281,article-2010-industrijalizacija-cacka-1944-1956,concernsInstitution,I029,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Установа или предузеће обрађено је као носилац индустријализације Чачка.,high
R282,article-2010-industrijalizacija-cacka-1944-1956,concernsInstitution,I030,article-2010-industrijalizacija-cacka-1944-1956,PDF 15–17,Установа или предузеће обрађено је као носилац индустријализације Чачка.,high
R283,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,concernsInstitution,I027,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,PDF 19; PDF 23,Предузеће „Слобода” је непосредни предмет публикације.,high
R284,article-2009-prvi-gradjanin-male-varosi,concernsInstitution,I013,article-2009-prvi-gradjanin-male-varosi,PDF 2,Општина Чачак је непосредни институционални оквир анализе.,high
R285,article-2009-predsednici-opstine-cacak-1944-2010,concernsInstitution,I013,article-2009-predsednici-opstine-cacak-1944-2010,PDF 1,Општина Чачак је непосредни институционални оквир анализе.,high
R286,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P035,article-2009-predsednici-opstine-cacak-1944-2010,PDF 2,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R287,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P036,article-2009-predsednici-opstine-cacak-1944-2010,PDF 3,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R288,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P037,article-2009-predsednici-opstine-cacak-1944-2010,PDF 3,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R289,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P038,article-2009-predsednici-opstine-cacak-1944-2010,PDF 4,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R290,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P039,article-2009-predsednici-opstine-cacak-1944-2010,PDF 5,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R291,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P040,article-2009-predsednici-opstine-cacak-1944-2010,PDF 6,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R292,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P041,article-2009-predsednici-opstine-cacak-1944-2010,PDF 6,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R293,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P042,article-2009-predsednici-opstine-cacak-1944-2010,PDF 7,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R294,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P043,article-2009-predsednici-opstine-cacak-1944-2010,PDF 9,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R295,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P044,article-2009-predsednici-opstine-cacak-1944-2010,PDF 10,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R296,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P045,article-2009-predsednici-opstine-cacak-1944-2010,PDF 11,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R297,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P046,article-2009-predsednici-opstine-cacak-1944-2010,PDF 12,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R298,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P047,article-2009-predsednici-opstine-cacak-1944-2010,PDF 13,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R299,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P048,article-2009-predsednici-opstine-cacak-1944-2010,PDF 15,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R300,article-2009-predsednici-opstine-cacak-1944-2010,concernsPerson,P049,article-2009-predsednici-opstine-cacak-1944-2010,PDF 17,Публикација садржи засебну биографску јединицу о председнику Општине Чачак.,high
R301,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P035,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R302,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P036,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R303,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P037,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R304,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P038,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R305,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P039,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R306,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P040,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R307,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P041,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R308,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P042,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R309,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P043,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R310,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P044,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R311,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P045,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R312,article-2009-prvi-gradjanin-male-varosi,concernsPerson,P046,article-2009-prvi-gradjanin-male-varosi,pp. 235–268 (print),Личност припада анализираној локалној елити председника општине у доба социјализма.,medium
R313,book-2012-balkan-city,publishedBy,I001,book-2012-balkan-city,PDF 1,Народни музеј Чачак наведен је као издавач публикације или матичног часописа.,high
R314,catalogue-2013-cacak-in-the-era-of-socialism-1944-1990-photography-as-a-representatio,publishedBy,I001,catalogue-2013-cacak-in-the-era-of-socialism-1944-1990-photography-as-a-representatio,PDF 3,Народни музеј Чачак наведен је као издавач публикације или матичног часописа.,high
R315,article-2009-prvi-gradjanin-male-varosi,publishedBy,I001,article-2009-prvi-gradjanin-male-varosi,PDF 2,Народни музеј Чачак наведен је као издавач публикације или матичног часописа.,high
R316,article-2010-industrijalizacija-cacka-1944-1956,publishedBy,I001,article-2010-industrijalizacija-cacka-1944-1956,PDF 3,Народни музеј Чачак наведен је као издавач публикације или матичног часописа.,high
R317,article-2013-spomen-kosturnica-centralni-trg-cacak-1945-1955,publishedBy,I001,article-2013-spomen-kosturnica-centralni-trg-cacak-1945-1955,PDF 3,Народни музеј Чачак наведен је као издавач публикације или матичног часописа.,high
R318,I027,locatedIn,PL002,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,PDF 19; PDF 23,Предузеће је основано и делује у Чачку.,high
R319,I028,locatedIn,PL028,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 31,Хидроелектрана је везана за простор Овчар Бање.,high
R320,I029,locatedIn,PL029,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 31,Хидроелектрана је везана за простор Међувршја.,high
R321,I030,locatedIn,PL002,article-2010-industrijalizacija-cacka-1944-1956,PDF 17,Технички ремонтни завод је наведен као чачанско предузеће.,high
R322,book-2008-kulturna-riznica-cacka,concernsPlace,PL002,book-2008-kulturna-riznica-cacka,PDF 14–21,Публикација непосредно обрађује ентитет као значајан део теме.,high
R323,book-2008-kulturna-riznica-cacka,concernsPlace,PL016,book-2008-kulturna-riznica-cacka,PDF 66–76,Публикација непосредно обрађује ентитет као значајан део теме.,high
R324,book-2008-kulturna-riznica-cacka,concernsPlace,PL033,book-2008-kulturna-riznica-cacka,PDF 54,Јежевица је обрађена као насеље и сакрални локалитет чачанског краја.,high
R325,book-2008-kulturna-riznica-cacka,concernsInstitution,I001,book-2008-kulturna-riznica-cacka,PDF 14–21,Публикација непосредно обрађује ентитет као значајан део теме.,high
R326,book-2008-kulturna-riznica-cacka,concernsInstitution,I009,book-2008-kulturna-riznica-cacka,PDF 45–47,Публикација непосредно обрађује ентитет као значајан део теме.,high
R327,book-2008-kulturna-riznica-cacka,concernsInstitution,I031,book-2008-kulturna-riznica-cacka,PDF 87–93,Публикација непосредно обрађује ентитет као значајан део теме.,high
R328,book-2008-kulturna-riznica-cacka,concernsInstitution,I033,book-2008-kulturna-riznica-cacka,PDF 66–75,Публикација непосредно обрађује ентитет као значајан део теме.,high
R329,book-2008-kulturna-riznica-cacka,concernsInstitution,I034,book-2008-kulturna-riznica-cacka,PDF 74–81,Публикација непосредно обрађује ентитет као значајан део теме.,high
R330,book-2008-kulturna-riznica-cacka,concernsInstitution,I035,book-2008-kulturna-riznica-cacka,PDF 85–94,Публикација непосредно обрађује ентитет као значајан део теме.,high
R331,book-2008-kulturna-riznica-cacka,concernsInstitution,I036,book-2008-kulturna-riznica-cacka,PDF 69–79,Публикација непосредно обрађује ентитет као значајан део теме.,high
R332,book-2008-kulturna-riznica-cacka,concernsInstitution,I037,book-2008-kulturna-riznica-cacka,PDF 118,Публикација непосредно обрађује ентитет као значајан део теме.,high
R333,book-2008-kulturna-riznica-cacka,concernsInstitution,I038,book-2008-kulturna-riznica-cacka,PDF 75–81,Публикација непосредно обрађује ентитет као значајан део теме.,high
R334,book-2008-kulturna-riznica-cacka,concernsInstitution,I039,book-2008-kulturna-riznica-cacka,PDF 118,Публикација непосредно обрађује ентитет као значајан део теме.,high
R335,book-2008-kulturna-riznica-cacka,concernsInstitution,I040,book-2008-kulturna-riznica-cacka,PDF 118,Публикација непосредно обрађује ентитет као значајан део теме.,high
R336,book-2008-kulturna-riznica-cacka,concernsInstitution,I041,book-2008-kulturna-riznica-cacka,PDF 69–75,Публикација непосредно обрађује ентитет као значајан део теме.,high
R337,book-2008-kulturna-riznica-cacka,concernsInstitution,I042,book-2008-kulturna-riznica-cacka,PDF 118,Публикација непосредно обрађује ентитет као значајан део теме.,high
R338,book-2008-kulturna-riznica-cacka,concernsInstitution,I043,book-2008-kulturna-riznica-cacka,PDF 118,Публикација непосредно обрађује ентитет као значајан део теме.,high
R339,book-2008-kulturna-riznica-cacka,concernsPerson,P001,book-2008-kulturna-riznica-cacka,PDF 85–91,Публикација непосредно обрађује ентитет као значајан део теме.,high
R340,book-2008-kulturna-riznica-cacka,concernsPerson,P002,book-2008-kulturna-riznica-cacka,PDF 66–75,Публикација непосредно обрађује ентитет као значајан део теме.,high
R341,book-2008-kulturna-riznica-cacka,concernsPerson,P005,book-2008-kulturna-riznica-cacka,PDF 68–75,Публикација непосредно обрађује ентитет као значајан део теме.,high
R342,book-2008-kulturna-riznica-cacka,concernsPerson,P006,book-2008-kulturna-riznica-cacka,PDF 85–93,Публикација непосредно обрађује ентитет као значајан део теме.,high
R343,book-2008-kulturna-riznica-cacka,concernsPerson,P027,book-2008-kulturna-riznica-cacka,PDF 79–82,Публикација непосредно обрађује ентитет као значајан део теме.,high
R344,book-2008-kulturna-riznica-cacka,concernsPerson,P051,book-2008-kulturna-riznica-cacka,PDF 45–49,Публикација непосредно обрађује ентитет као значајан део теме.,high
R345,book-2008-kulturna-riznica-cacka,concernsPerson,P052,book-2008-kulturna-riznica-cacka,PDF 85–94,Публикација непосредно обрађује ентитет као значајан део теме.,high
R346,book-2008-kulturna-riznica-cacka,publishedBy,I001,book-2008-kulturna-riznica-cacka,PDF 2,Импресум наводи Народни музеј Чачак као издавача.,high
R347,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsInstitution,I001,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 5–13,Публикација непосредно обрађује ентитет као значајан део теме.,high
R348,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsInstitution,I002,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 16–24,Публикација непосредно обрађује ентитет као значајан део теме.,high
R349,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsInstitution,I031,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 11–21,Публикација непосредно обрађује ентитет као значајан део теме.,high
R350,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsInstitution,I032,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 5–13,Публикација непосредно обрађује ентитет као значајан део теме.,high
R351,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsPlace,PL002,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 6–13,Публикација непосредно обрађује ентитет као значајан део теме.,high
R352,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsPlace,PL016,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 21–31,Публикација непосредно обрађује ентитет као значајан део теме.,high
R353,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsPerson,P050,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 44–53,Публикација непосредно обрађује ентитет као значајан део теме.,high
R354,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,concernsPerson,P027,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 16–24,Публикација непосредно обрађује ентитет као значајан део теме.,high
R355,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,usesSource,S017,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 5–13,Историја установе реконструисана је на основу музејске архивске грађе.,high
R356,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,usesSource,S019,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 28,Публикација користи музејску фототеку као документарну грађу.,high
R357,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,publishedBy,I001,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,PDF 2,Импресум наводи Народни музеј Чачак као издавача.,high
R358,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,concernsInstitution,I001,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 8–15,Публикација непосредно обрађује ентитет као значајан део теме.,high
R359,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,concernsInstitution,I031,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 10–14,Публикација непосредно обрађује ентитет као значајан део теме.,high
R360,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,concernsInstitution,I032,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 8–16,Публикација непосредно обрађује ентитет као значајан део теме.,high
R361,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,concernsPlace,PL002,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 9–17,Публикација непосредно обрађује ентитет као значајан део теме.,high
R362,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,concernsPerson,P050,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 11–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R363,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,usesSource,S017,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 8–16,Рад анализира документацију и историју Историјског одељења.,high
R364,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,publishedBy,I001,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,PDF 1–6,Рад је објављен у Зборнику радова Народног музеја Чачак.,high
R365,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,concernsInstitution,I009,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 18–26,Публикација непосредно обрађује ентитет као значајан део теме.,high
R366,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,concernsPlace,PL002,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 19–26,Публикација непосредно обрађује ентитет као значајан део теме.,high
R367,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,concernsPerson,P002,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 45–47,Публикација непосредно обрађује ентитет као значајан део теме.,high
R368,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,concernsPerson,P051,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 35–43,Публикација непосредно обрађује ентитет као значајан део теме.,high
R369,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,concernsPerson,P052,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 40–47,Публикација непосредно обрађује ентитет као значајан део теме.,high
R370,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,publishedBy,I001,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,PDF 7,Импресум наводи Народни музеј Чачак као издавача.,high
R371,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsInstitution,I001,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–4,Публикација непосредно обрађује ентитет као значајан део теме.,high
R372,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsInstitution,I031,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–4,Публикација непосредно обрађује ентитет као значајан део теме.,high
R373,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsInstitution,I032,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–4,Публикација непосредно обрађује ентитет као значајан део теме.,high
R374,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPlace,PL002,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R375,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPlace,PL003,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R376,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPerson,P001,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 2–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R377,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPerson,P005,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 2–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R378,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPerson,P006,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 2–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R379,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPerson,P053,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 2–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R380,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,concernsPerson,P054,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 2–5,Публикација непосредно обрађује ентитет као значајан део теме.,high
R381,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,usesSource,S017,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1–4,Рад користи архиву Народног музеја за реконструкцију развоја поставке.,high
R382,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,usesSource,S020,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 3–4,Документи из Збирке Мите Петровића репродуковани су у поставци.,high
R383,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,publishedBy,I001,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,PDF 1,Рад је објављен у Зборнику радова Народног музеја Чачак.,high
R384,catalogue-2010-album-of-old-cacak-1870-1941,concernsInstitution,I031,catalogue-2010-album-of-old-cacak-1870-1941,PDF 33–36,Публикација непосредно обрађује ентитет као значајан део теме.,high
R385,catalogue-2010-album-of-old-cacak-1870-1941,concernsPlace,PL002,catalogue-2010-album-of-old-cacak-1870-1941,PDF 4–11,Публикација непосредно обрађује ентитет као значајан део теме.,high
R386,catalogue-2010-album-of-old-cacak-1870-1941,usesSource,S019,catalogue-2010-album-of-old-cacak-1870-1941,PDF 16,Каталог је заснован на збирци историјских фотографија Народног музеја у Чачку.,high
R387,catalogue-2010-album-of-old-cacak-1870-1941,publishedBy,I001,catalogue-2010-album-of-old-cacak-1870-1941,PDF 2,Импресум наводи Народни музеј Чачак као издавача.,high
R388,book-2012-ok-manastiri,concernsInstitution,I033,book-2012-ok-manastiri,PDF 15–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R389,book-2012-ok-manastiri,concernsInstitution,I034,book-2012-ok-manastiri,PDF 15–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R390,book-2012-ok-manastiri,concernsInstitution,I035,book-2012-ok-manastiri,PDF 15–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R391,book-2012-ok-manastiri,concernsInstitution,I036,book-2012-ok-manastiri,PDF 15–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R392,book-2012-ok-manastiri,concernsInstitution,I037,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R393,book-2012-ok-manastiri,concernsInstitution,I038,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R394,book-2012-ok-manastiri,concernsInstitution,I039,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R395,book-2012-ok-manastiri,concernsInstitution,I040,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R396,book-2012-ok-manastiri,concernsInstitution,I041,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
R397,book-2012-ok-manastiri,concernsInstitution,I042,book-2012-ok-manastiri,PDF 17–18,Публикација непосредно обрађује ентитет као значајан део теме.,high
